Index,X,Y,Z,TargetSize,Timestamp
1,77.861491,-3707.399700,-1250.047798,1.5,2026-07-13 09:50:52
2,-221.679229,-3655.499700,-1248.187798,1.5,2026-07-13 09:51:00
3,-121.555509,-3946.059700,-1252.547798,1.5,2026-07-13 09:51:05
4,-526.666000,-2103.360000,-1226.390000,1.5,2026-07-13 09:51:14
5,-863.741000,-2050.110000,-1221.940000,1.5,2026-07-13 09:51:19
6,-744.513000,-2394.450000,-1228.020000,1.5,2026-07-13 09:51:24
7,377.346000,-1900.400000,767.773000,1.5,2026-07-13 09:51:36
8,359.874000,-1968.550000,364.459000,1.5,2026-07-13 09:51:45
9,330.242000,-2146.230000,-65.591100,1.5,2026-07-13 09:52:14
10,490.371333,-1918.733333,773.467000,1.5,2026-07-13 09:52:29
11,472.899333,-1986.883333,370.153000,1.5,2026-07-13 09:52:36
12,443.267333,-2164.563333,-59.897100,1.5,2026-07-13 09:53:02
13,-508.292000,-1740.750000,770.212000,1.5,2026-07-13 09:53:14
14,-517.410000,-1818.390000,338.117000,1.5,2026-07-13 09:53:24
15,-547.891000,-1996.500000,-79.975400,1.5,2026-07-13 09:53:40
16,-629.772000,-1721.145000,766.838350,1.5,2026-07-13 09:53:51
17,-638.890000,-1798.785000,334.743350,1.5,2026-07-13 09:54:16
18,-669.371000,-1976.895000,-83.349050,1.5,2026-07-13 09:54:24
