Index,X,Y,Z,TargetSize,Timestamp
1,0.000,6790.000,0.000,1.5,2026-07-16 13:48:21
2,0.000,4790.000,0.000,1.5,2026-07-16 13:48:21
3,1500.000,5790.000,0.000,1.5,2026-07-16 13:48:21
4,0.000,2500.000,0.000,1.5,2026-07-16 13:48:21
5,0.000,0.000,0.000,1.5,2026-07-16 13:48:21
6,1800.000,1200.000,0.000,1.5,2026-07-16 13:48:21
7,1615.774,5628.040,2364.427,1.5,2026-07-16 13:48:21
8,1896.174,5607.498,3227.193,1.5,2026-07-16 13:48:21
9,1707.519,5582.214,4114.425,1.5,2026-07-16 13:48:21
10,1418.940,6632.421,2150.311,1.5,2026-07-16 13:48:21
11,1887.459,6607.105,3253.825,1.5,2026-07-16 13:48:21
12,1536.885,6573.509,4400.064,1.5,2026-07-16 13:48:21
13,1596.622,4249.351,2471.808,1.5,2026-07-16 13:48:21
14,1734.219,4238.308,3517.006,1.5,2026-07-16 13:48:21
15,1247.456,4236.944,4452.183,1.5,2026-07-16 13:48:21
16,1429.890,3253.929,2198.481,1.5,2026-07-16 13:48:21
17,1746.886,3240.729,3203.884,1.5,2026-07-16 13:48:21
18,1429.890,3236.380,4209.364,1.5,2026-07-16 13:48:21
